year,level_1,level_2,level_3,level_4,value
2013,Total,CLOTHING AND FOOTWEAR,FOOTWEAR,Repair and Hire of Footwear,0.3
2013,Total,HOUSING AND UTILITIES,MAINTENANCE AND REPAIR OF DWELLING,Materials for Maintenance and Repair of Dwelling,1.9
2013,Total,HOUSING AND UTILITIES,MAINTENANCE AND REPAIR OF DWELLING,Services for Maintenance and Repair of Dwelling,12.5
2013,Total,HOUSING AND UTILITIES,UTILITIES AND OTHER FUELS,Water Supply and Miscellaneous Services Related to Dwelling,130
2013,Total,HOUSING AND UTILITIES,UTILITIES AND OTHER FUELS,"Electricity, Gas and Other Fuels",145.2
2013,Total,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS",Furniture and Furnishings,34.3
2013,Total,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS","Repair of Furniture, Furnishings and Floor Coverings",1.5
2013,Total,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Major Household Appliances,21.4
2013,Total,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Small Electrical Household Appliances,8.7
2013,Total,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Repair of Household Appliances,4
2013,Total,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,Major Tools and Equipment,0.3
2013,Total,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,Small Tools and Miscellaneous Accessories,5.2
2013,Total,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,Non-Durable Household Goods,27.9
2013,Total,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,Domestic Services and Household Services,134.6
2013,Total,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Pharmaceutical Products,64.4
2013,Total,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Other Medical Products,2.5
2013,Total,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Therapeutic Appliances and Equipment,10.9
2013,Total,HEALTH,OUTPATIENT SERVICES,Medical Services,77
2013,Total,HEALTH,OUTPATIENT SERVICES,Dental Services,15.6
2013,Total,HEALTH,OUTPATIENT SERVICES,Paramedical Services,24
2013,Total,HEALTH,"HOSPITAL, CONVALESCENT AND REHABILITATION SERVICES",Hospital Services,62.5
2013,Total,HEALTH,"HOSPITAL, CONVALESCENT AND REHABILITATION SERVICES",Intermediate and Long-Term Care Services,4.5
2013,Total,TRANSPORT,PURCHASE OF VEHICLES,Motor Cars,261.9
2013,Total,TRANSPORT,PURCHASE OF VEHICLES,Motorcycles,6
2013,Total,TRANSPORT,PURCHASE OF VEHICLES,Bicycles,0.4
2013,Total,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Spare Parts and Accessories for Vehicles,6.2
2013,Total,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Fuels and Lubricants for Vehicles,140.2
2013,Total,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Maintenance and Repair of Vehicles,48.5
2013,Total,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Other Services in respect of Vehicles,111.4
2013,Total,TRANSPORT,LAND TRANSPORT SERVICES,Passenger Transport by Railway,34.2
2013,Total,TRANSPORT,LAND TRANSPORT SERVICES,Passenger Transport by Road,107.6
2013,Total,TRANSPORT,LAND TRANSPORT SERVICES,Combined Passenger Transport by Railway and Road,25.4
2013,Total,TRANSPORT,OTHER TRANSPORT SERVICES,Passenger Transport by Air,66.8
2013,Total,TRANSPORT,OTHER TRANSPORT SERVICES,Passenger Transport by Sea,1.6
2013,Total,TRANSPORT,OTHER TRANSPORT SERVICES,Other Transport Services,0.3
2013,Total,COMMUNICATION,POSTAL AND COURIER/DELIVERY SERVICES,Postal Services,0.8
2013,Total,COMMUNICATION,POSTAL AND COURIER/DELIVERY SERVICES,Courier/Delivery Services,0.5
2013,Total,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Audio-Visual Equipment and Accessories,11.6
2013,Total,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Optical and Photographic Goods,2.7
2013,Total,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Information Processing Equipment,18
2013,Total,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Recording Media,4
2013,Total,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT","Repair of Audio-Visual, Photographic and Information Processing Equipment",1.3
2013,Total,RECREATION AND CULTURE,"OTHER RECREATIONAL GOODS, GARDENS AND PETS",Other Major Durables for Recreation and Culture,2.5
2013,Total,RECREATION AND CULTURE,"OTHER RECREATIONAL GOODS, GARDENS AND PETS","Other Recreational Items and Equipment, Gardens and Pets",37
2013,Total,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Recreational and Sporting Services,39.4
2013,Total,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Cultural Services,50.7
2013,Total,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Games of Chance,47.8
2013,Total,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Books,7.2
2013,Total,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Newspapers and Periodicals,11.6
2013,Total,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Miscellaneous Printed Materials,0.7
2013,Total,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Stationery and Drawing Materials,9.1
2013,Total,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Pre-Primary and Primary Education,46.1
2013,Total,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Secondary Education,17.4
2013,Total,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Post-Secondary Education (Non-Tertiary),7.5
2013,Total,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Polytechnic Education,15.7
2013,Total,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Professional Qualification and Other Diploma Courses,6.8
2013,Total,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",University Education,105.4
2013,Total,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Home-Based Tuition,37.5
2013,Total,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Centre-Based Tuition,42.4
2013,Total,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Other Courses,25.8
2013,Total,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,Hairdressing Salons and Personal Grooming Establishments,57.1
2013,Total,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,Electrical Appliances for Personal Care,0.9
2013,Total,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,"Other Appliances, Articles and Products for Personal Care",79.7
2013,Total,MISCELLANEOUS GOODS AND SERVICES,OTHER PERSONAL EFFECTS,"Jewellery, Clocks and Watches",7
2013,Total,MISCELLANEOUS GOODS AND SERVICES,OTHER PERSONAL EFFECTS,Other Personal Effects,29.9
2013,Total,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,"Life Insurance (Term only, excluding premiums for whole-life plans with saving component)",71.4
2013,Total,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Housing Insurance,4.9
2013,Total,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Health Insurance,150.9
2013,Total,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Transport Insurance,57.1
2013,Total,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Other Insurance,9.9
2013,Total,MISCELLANEOUS GOODS AND SERVICES,OTHER FINANCIAL SERVICES,Other Financial Services n.e.c,0.6
2013,Income Decile - 1st - 10th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Bread and Cereals,48.5
2013,Income Decile - 1st - 10th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Meat,47.6
2013,Income Decile - 1st - 10th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Fish and Seafood,45.3
2013,Income Decile - 1st - 10th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,"Milk, Cheese and Eggs",25.8
2013,Income Decile - 1st - 10th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Oils and Fats,7.1
2013,Income Decile - 1st - 10th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Fruits,23.7
2013,Income Decile - 1st - 10th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Vegetables,37.8
2013,Income Decile - 1st - 10th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,"Sugar, Jam, Honey, Chocolate and Confectionery",7.9
2013,Income Decile - 1st - 10th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Food Products n.e.c,9
2013,Income Decile - 1st - 10th,FOOD AND NON-ALCOHOLIC BEVERAGES,NON-ALCOHOLIC BEVERAGES,"Coffee, Tea and Cocoa",9.6
2013,Income Decile - 1st - 10th,FOOD AND NON-ALCOHOLIC BEVERAGES,NON-ALCOHOLIC BEVERAGES,"Mineral Water, Soft Drinks, Fruit and Vegetable Juices",8
2013,Income Decile - 1st - 10th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Spirits,0.1
2013,Income Decile - 1st - 10th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Wine,1.7
2013,Income Decile - 1st - 10th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Beer,2.5
2013,Income Decile - 1st - 10th,CLOTHING AND FOOTWEAR,CLOTHING,Clothing Materials,0.2
2013,Income Decile - 1st - 10th,CLOTHING AND FOOTWEAR,CLOTHING,Garments,28.5
2013,Income Decile - 1st - 10th,CLOTHING AND FOOTWEAR,CLOTHING,Other Clothing and Clothing Accessories,0.9
2013,Income Decile - 1st - 10th,CLOTHING AND FOOTWEAR,CLOTHING,"Cleaning, Repair and Hire of Clothing",0.7
2013,Income Decile - 1st - 10th,CLOTHING AND FOOTWEAR,FOOTWEAR,Shoes and Other Footwear,8.8
2013,Income Decile - 1st - 10th,CLOTHING AND FOOTWEAR,FOOTWEAR,Repair and Hire of Footwear,0.1
2013,Income Decile - 1st - 10th,HOUSING AND UTILITIES,MAINTENANCE AND REPAIR OF DWELLING,Materials for Maintenance and Repair of Dwelling,0.3
2013,Income Decile - 1st - 10th,HOUSING AND UTILITIES,MAINTENANCE AND REPAIR OF DWELLING,Services for Maintenance and Repair of Dwelling,4.3
2013,Income Decile - 1st - 10th,HOUSING AND UTILITIES,UTILITIES AND OTHER FUELS,Water Supply and Miscellaneous Services Related to Dwelling,92.6
2013,Income Decile - 1st - 10th,HOUSING AND UTILITIES,UTILITIES AND OTHER FUELS,"Electricity, Gas and Other Fuels",103.5
2013,Income Decile - 1st - 10th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS",Furniture and Furnishings,8.4
2013,Income Decile - 1st - 10th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Major Household Appliances,6
2013,Income Decile - 1st - 10th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Small Electrical Household Appliances,2.9
2013,Income Decile - 1st - 10th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Repair of Household Appliances,1
2013,Income Decile - 1st - 10th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,Small Tools and Miscellaneous Accessories,3
2013,Income Decile - 1st - 10th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,Non-Durable Household Goods,14.9
2013,Income Decile - 1st - 10th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,Domestic Services and Household Services,63.2
2013,Income Decile - 1st - 10th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Pharmaceutical Products,25.5
2013,Income Decile - 1st - 10th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Other Medical Products,1.2
2013,Income Decile - 1st - 10th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Therapeutic Appliances and Equipment,2.1
2013,Income Decile - 1st - 10th,HEALTH,OUTPATIENT SERVICES,Medical Services,55.2
2013,Income Decile - 1st - 10th,HEALTH,OUTPATIENT SERVICES,Dental Services,7.2
2013,Income Decile - 1st - 10th,HEALTH,OUTPATIENT SERVICES,Paramedical Services,8.2
2013,Income Decile - 1st - 10th,HEALTH,"HOSPITAL, CONVALESCENT AND REHABILITATION SERVICES",Hospital Services,64.4
2013,Income Decile - 1st - 10th,HEALTH,"HOSPITAL, CONVALESCENT AND REHABILITATION SERVICES",Intermediate and Long-Term Care Services,3.1
2013,Income Decile - 1st - 10th,TRANSPORT,PURCHASE OF VEHICLES,Motor Cars,39
2013,Income Decile - 1st - 10th,TRANSPORT,PURCHASE OF VEHICLES,Motorcycles,4.7
2013,Income Decile - 1st - 10th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Spare Parts and Accessories for Vehicles,0.3
2013,Income Decile - 1st - 10th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Fuels and Lubricants for Vehicles,28.1
2013,Income Decile - 1st - 10th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Maintenance and Repair of Vehicles,14.4
2013,Income Decile - 1st - 10th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Other Services in respect of Vehicles,22.8
2013,Income Decile - 1st - 10th,TRANSPORT,LAND TRANSPORT SERVICES,Passenger Transport by Railway,12.8
2013,Income Decile - 1st - 10th,TRANSPORT,LAND TRANSPORT SERVICES,Passenger Transport by Road,44.5
2013,Income Decile - 1st - 10th,TRANSPORT,LAND TRANSPORT SERVICES,Combined Passenger Transport by Railway and Road,14.2
2013,Income Decile - 1st - 10th,TRANSPORT,OTHER TRANSPORT SERVICES,Passenger Transport by Air,13.2
2013,Income Decile - 1st - 10th,TRANSPORT,OTHER TRANSPORT SERVICES,Passenger Transport by Sea,0.4
2013,Income Decile - 1st - 10th,TRANSPORT,OTHER TRANSPORT SERVICES,Other Transport Services,0.1
2013,Income Decile - 1st - 10th,COMMUNICATION,POSTAL AND COURIER/DELIVERY SERVICES,Postal Services,0.2
2013,Income Decile - 1st - 10th,COMMUNICATION,POSTAL AND COURIER/DELIVERY SERVICES,Courier/Delivery Services,0.4
2013,Income Decile - 1st - 10th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Audio-Visual Equipment and Accessories,2.9
2013,Income Decile - 1st - 10th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Optical and Photographic Goods,0.5
2013,Income Decile - 1st - 10th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Information Processing Equipment,4.3
2013,Income Decile - 1st - 10th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Recording Media,1.6
2013,Income Decile - 1st - 10th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT","Repair of Audio-Visual, Photographic and Information Processing Equipment",0.8
2013,Income Decile - 1st - 10th,RECREATION AND CULTURE,"OTHER RECREATIONAL GOODS, GARDENS AND PETS","Other Recreational Items and Equipment, Gardens and Pets",7.9
2013,Income Decile - 1st - 10th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Recreational and Sporting Services,9.5
2013,Income Decile - 1st - 10th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Cultural Services,12.5
2013,Income Decile - 1st - 10th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Games of Chance,15.2
2013,Income Decile - 1st - 10th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Books,1.6
2013,Income Decile - 1st - 10th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Newspapers and Periodicals,7.2
2013,Income Decile - 1st - 10th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Miscellaneous Printed Materials,0.1
2013,Income Decile - 1st - 10th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Stationery and Drawing Materials,4
2013,Income Decile - 1st - 10th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Pre-Primary and Primary Education,10.5
2013,Income Decile - 1st - 10th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Secondary Education,7.1
2013,Income Decile - 1st - 10th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Post-Secondary Education (Non-Tertiary),2.2
2013,Income Decile - 1st - 10th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Polytechnic Education,11.8
2013,Income Decile - 1st - 10th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Professional Qualification and Other Diploma Courses,6.7
2013,Income Decile - 1st - 10th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",University Education,30.6
2013,Income Decile - 1st - 10th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Home-Based Tuition,10.7
2013,Income Decile - 1st - 10th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Centre-Based Tuition,9.3
2013,Income Decile - 1st - 10th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Other Courses,5.1
2013,Income Decile - 1st - 10th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,Hairdressing Salons and Personal Grooming Establishments,11.2
2013,Income Decile - 1st - 10th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,Electrical Appliances for Personal Care,0.1
2013,Income Decile - 1st - 10th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,"Other Appliances, Articles and Products for Personal Care",29.2
2013,Income Decile - 1st - 10th,MISCELLANEOUS GOODS AND SERVICES,OTHER PERSONAL EFFECTS,"Jewellery, Clocks and Watches",0.8
2013,Income Decile - 1st - 10th,MISCELLANEOUS GOODS AND SERVICES,OTHER PERSONAL EFFECTS,Other Personal Effects,6.1
2013,Income Decile - 1st - 10th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,"Life Insurance (Term only, excluding premiums for whole-life plans with saving component)",20.1
2013,Income Decile - 1st - 10th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Housing Insurance,1.9
2013,Income Decile - 1st - 10th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Health Insurance,81.2
2013,Income Decile - 1st - 10th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Transport Insurance,12.6
2013,Income Decile - 1st - 10th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Other Insurance,2.4
2013,Income Decile - 11th - 20th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Bread and Cereals,61.3
2013,Income Decile - 11th - 20th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Meat,57.4
2013,Income Decile - 11th - 20th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Fish and Seafood,57.3
2013,Income Decile - 11th - 20th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,"Milk, Cheese and Eggs",39
2013,Income Decile - 11th - 20th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Oils and Fats,8.8
2013,Income Decile - 11th - 20th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Fruits,30.6
2013,Income Decile - 11th - 20th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Vegetables,44.4
2013,Income Decile - 11th - 20th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,"Sugar, Jam, Honey, Chocolate and Confectionery",12.2
2013,Income Decile - 11th - 20th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Food Products n.e.c,11.4
2013,Income Decile - 11th - 20th,FOOD AND NON-ALCOHOLIC BEVERAGES,NON-ALCOHOLIC BEVERAGES,"Coffee, Tea and Cocoa",12.2
2013,Income Decile - 11th - 20th,FOOD AND NON-ALCOHOLIC BEVERAGES,NON-ALCOHOLIC BEVERAGES,"Mineral Water, Soft Drinks, Fruit and Vegetable Juices",12.2
2013,Income Decile - 11th - 20th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Spirits,0.8
2013,Income Decile - 11th - 20th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Wine,1.5
2013,Income Decile - 11th - 20th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Beer,4.9
2013,Income Decile - 11th - 20th,CLOTHING AND FOOTWEAR,CLOTHING,Clothing Materials,0.7
2013,Income Decile - 11th - 20th,CLOTHING AND FOOTWEAR,CLOTHING,Garments,51.1
2013,Income Decile - 11th - 20th,CLOTHING AND FOOTWEAR,CLOTHING,Other Clothing and Clothing Accessories,2.2
2013,Income Decile - 11th - 20th,CLOTHING AND FOOTWEAR,CLOTHING,"Cleaning, Repair and Hire of Clothing",0.7
2013,Income Decile - 11th - 20th,CLOTHING AND FOOTWEAR,FOOTWEAR,Shoes and Other Footwear,14.6
2013,Income Decile - 11th - 20th,HOUSING AND UTILITIES,MAINTENANCE AND REPAIR OF DWELLING,Materials for Maintenance and Repair of Dwelling,1.6
2013,Income Decile - 11th - 20th,HOUSING AND UTILITIES,MAINTENANCE AND REPAIR OF DWELLING,Services for Maintenance and Repair of Dwelling,10
2013,Income Decile - 11th - 20th,HOUSING AND UTILITIES,UTILITIES AND OTHER FUELS,Water Supply and Miscellaneous Services Related to Dwelling,96.7
2013,Income Decile - 11th - 20th,HOUSING AND UTILITIES,UTILITIES AND OTHER FUELS,"Electricity, Gas and Other Fuels",123.6
2013,Income Decile - 11th - 20th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS",Furniture and Furnishings,14.8
2013,Income Decile - 11th - 20th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS","Repair of Furniture, Furnishings and Floor Coverings",0.2
2013,Income Decile - 11th - 20th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Major Household Appliances,8.9
2013,Income Decile - 11th - 20th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Small Electrical Household Appliances,5
2013,Income Decile - 11th - 20th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Repair of Household Appliances,0.9
2013,Income Decile - 11th - 20th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,Small Tools and Miscellaneous Accessories,2.4
